URL,Fecha,Puntuación,Calificación,Strict-Transport-Security_presente,Strict-Transport-Security_score,Content-Security-Policy_presente,Content-Security-Policy_score,X-Frame-Options_presente,X-Frame-Options_score,X-Content-Type-Options_presente,X-Content-Type-Options_score,Referrer-Policy_presente,Referrer-Policy_score,Permissions-Policy_presente,Permissions-Policy_score
https://www.youtube.com/,31-01-2026 18:36:40,87,B,Sí,100,Sí,100,Sí,100,Sí,100,No,0,Sí,100
https://mail.google.com/mail/u/3/#inbox,31-01-2026 18:36:41,72,C,Sí,100,Sí,40,Sí,100,Sí,100,No,0,Sí,100
https://prisma.icfes.edu.co/prisma-web/pages/administracion/autenticacion/autenticacionIcfes.jsf?faces-redirect=true#No-back-button,31-01-2026 18:36:41,0,F,No,0,No,0,No,0,No,0,No,0,No,0
